credito_id,cliente_id,fecha_desembolso,producto_credito,monto_credito,plazo_meses,tasa_interes_mensual,valor_cuota_pactada,canal_originacion,score_interno_originacion,relacion_cuota_ingreso,politica_aprobacion,estado_credito_operativo
CR000136,CL00131,2024-12-21,Crédito consumo digital,1150000,24,0.0337,71000,App,840,0.0281,Automática,Mora moderada
CR000137,CL00133,2024-05-09,Crédito consumo digital,700000,6,0.0362,132000,App,798,0.066,Automática,Mora moderada
CR000138,CL00134,2025-03-05,Crédito consumo digital,2800000,12,0.0348,289000,App,777,0.1055,Automática,Finalizado
CR000139,CL00135,2026-01-01,Crédito consumo digital,2250000,12,0.0206,214000,App,900,0.0575,Automática,Activo
CR000140,CL00137,2026-02-04,Microcrédito,2000000,12,0.0334,205000,App,658,0.1694,Automática,Activo
CR000141,CL00138,2025-12-31,Crédito consumo digital,1600000,3,0.0322,568000,Web,900,0.1919,Automática,Finalizado
CR000142,CL00139,2023-09-06,Microcrédito,2250000,24,0.0297,132000,App,723,0.0545,Automática,Mora severa
CR000143,CL00140,2024-04-21,Microcrédito,3500000,9,0.0434,478000,Aliado,806,0.1382,Automática,Finalizado
CR000144,CL00140,2024-02-27,Avance de nómina,900000,6,0.0262,164000,Web,861,0.0474,Automática,Finalizado
CR000145,CL00141,2025-08-27,Microcrédito,2000000,6,0.0406,382000,App,705,0.1882,Automática,Mora severa
CR000146,CL00142,2025-09-06,Microcrédito,10200000,12,0.0385,1078000,Web,900,0.1939,Automática,Activo
CR000147,CL00142,2025-10-04,Crédito consumo digital,3300000,18,0.0371,255000,Aliado,900,0.0459,Automática,Activo
CR000148,CL00144,2026-01-16,Crédito consumo digital,550000,24,0.023,30000,Call center,821,0.0101,Automática,Activo
CR000149,CL00145,2024-04-20,Crédito consumo digital,1350000,12,0.0291,135000,Web,834,0.0823,Automática,Mora severa
CR000150,CL00146,2024-07-13,Crédito consumo digital,1150000,12,0.0382,121000,App,829,0.042,Automática,Mora severa
CR000151,CL00146,2024-02-09,Crédito consumo digital,550000,9,0.0388,74000,App,874,0.0257,Automática,Mora severa
CR000152,CL00148,2025-04-25,Avance de nómina,1500000,12,0.0237,145000,App,776,0.0665,Automática,Mora moderada
CR000153,CL00149,2026-01-08,Microcrédito,1850000,3,0.031,655000,Web,831,0.1809,Automática,Finalizado
CR000154,CL00150,2025-07-16,Microcrédito,3700000,6,0.0448,717000,App,874,0.1707,Automática,Finalizado
CR000155,CL00151,2026-01-05,Microcrédito,3250000,6,0.0273,595000,Web,678,0.3814,Manual,Activo
CR000156,CL00152,2026-01-23,Avance de nómina,400000,6,0.0206,72000,App,819,0.0266,Automática,Activo
CR000157,CL00152,2025-05-08,Crédito consumo digital,1050000,12,0.0233,101000,App,900,0.0373,Automática,Activo
CR000158,CL00153,2025-10-18,Avance de nómina,250000,9,0.021,31000,Call center,808,0.0156,Automática,Activo
CR000159,CL00153,2024-04-20,Crédito libre inversión,1500000,9,0.0239,187000,App,800,0.094,Automática,Mora moderada
CR000160,CL00154,2025-08-09,Avance de nómina,450000,6,0.0291,83000,App,828,0.0324,Automática,Finalizado
CR000161,CL00154,2024-11-02,Crédito consumo digital,2000000,9,0.0243,250000,Aliado,826,0.0977,Automática,Finalizado
CR000162,CL00155,2025-11-22,Crédito libre inversión,3700000,12,0.0329,378000,App,750,0.1919,Automática,Activo
CR000163,CL00155,2025-12-05,Crédito consumo digital,1000000,9,0.0241,125000,App,823,0.0635,Automática,Activo
CR000164,CL00156,2026-02-15,Crédito consumo digital,2350000,12,0.03,236000,Web,888,0.0626,Automática,Activo
CR000165,CL00158,2025-06-21,Crédito libre inversión,11500000,6,0.0297,2121000,Web,900,0.3754,Manual,Mora severa
CR000166,CL00159,2023-11-16,Avance de nómina,400000,3,0.022,139000,App,861,0.0891,Automática,Finalizado
CR000167,CL00161,2025-11-12,Microcrédito,1400000,3,0.0289,494000,App,828,0.3088,Automática,Finalizado
CR000168,CL00163,2025-11-04,Crédito libre inversión,4900000,6,0.0294,903000,Call center,834,0.2648,Automática,Finalizado
CR000169,CL00164,2025-07-13,Microcrédito,1950000,12,0.0364,203000,Aliado,900,0.0781,Automática,Activo
CR000170,CL00165,2024-06-06,Microcrédito,2200000,3,0.0274,774000,App,899,0.2538,Automática,Finalizado
CR000171,CL00165,2024-12-01,Crédito consumo digital,1450000,18,0.0389,113000,App,900,0.037,Automática,Activo
CR000172,CL00166,2026-02-17,Crédito consumo digital,1400000,3,0.0329,498000,App,900,0.1586,Automática,Activo
CR000173,CL00167,2024-09-01,Microcrédito,1950000,3,0.0351,696000,Aliado,746,0.2559,Automática,Finalizado
CR000174,CL00167,2023-05-29,Crédito consumo digital,850000,9,0.0291,109000,Aliado,765,0.0401,Automática,Mora moderada
CR000175,CL00168,2024-04-25,Crédito consumo digital,1400000,6,0.0324,261000,Call center,900,0.0942,Automática,Finalizado
CR000176,CL00169,2025-01-24,Avance de nómina,550000,6,0.0195,98000,Aliado,860,0.0274,Automática,Finalizado
CR000177,CL00170,2024-10-14,Crédito libre inversión,3100000,6,0.0198,553000,App,793,0.2333,Automática,Finalizado
CR000178,CL00172,2025-10-24,Avance de nómina,1650000,6,0.0319,306000,Aliado,873,0.0789,Automática,Finalizado
CR000179,CL00173,2025-03-25,Crédito consumo digital,1700000,6,0.0298,314000,Call center,896,0.1303,Automática,Finalizado
CR000180,CL00173,2023-11-06,Microcrédito,1550000,6,0.0361,292000,Web,762,0.1212,Automática,Finalizado
CR000181,CL00174,2024-09-03,Crédito consumo digital,650000,3,0.0223,226000,App,761,0.1412,Automática,Finalizado
CR000182,CL00175,2026-01-15,Crédito libre inversión,1350000,3,0.0273,475000,App,758,0.2411,Automática,Activo
CR000183,CL00176,2025-05-19,Crédito consumo digital,1350000,12,0.0314,137000,App,900,0.0521,Automática,Activo
CR000184,CL00178,2024-09-05,Avance de nómina,1300000,24,0.0318,78000,App,831,0.0263,Automática,Activo
CR000185,CL00180,2025-10-26,Crédito libre inversión,2350000,6,0.0182,417000,Web,875,0.1404,Automática,Finalizado
CR000186,CL00181,2025-11-28,Crédito libre inversión,4400000,12,0.0203,417000,Aliado,900,0.086,Automática,Activo
CR000187,CL00182,2024-10-29,Crédito consumo digital,7650000,3,0.0271,2689000,Web,787,0.693,Excepción,Mora moderada
CR000188,CL00183,2025-11-11,Crédito consumo digital,400000,12,0.0246,39000,App,804,0.0639,Automática,Activo
CR000189,CL00183,2025-03-17,Microcrédito,1050000,12,0.0308,106000,Web,673,0.1738,Automática,Mora moderada
CR000190,CL00183,2025-05-22,Crédito consumo digital,250000,9,0.0342,33000,App,786,0.0541,Automática,Finalizado
CR000191,CL00184,2024-05-09,Avance de nómina,650000,12,0.0262,64000,Web,728,0.0322,Automática,Finalizado
CR000192,CL00185,2026-01-11,Crédito libre inversión,2400000,6,0.0306,444000,App,826,0.1362,Automática,Activo
CR000193,CL00186,2025-01-26,Crédito consumo digital,1400000,18,0.025,98000,Call center,900,0.0222,Automática,Mora severa
CR000194,CL00186,2024-05-04,Crédito consumo digital,4550000,6,0.0246,825000,App,836,0.1871,Automática,Finalizado
CR000195,CL00188,2025-02-25,Crédito consumo digital,1450000,3,0.0291,512000,App,900,0.2107,Automática,Finalizado
CR000196,CL00189,2024-03-24,Avance de nómina,900000,3,0.0312,319000,App,768,0.1498,Automática,Mora moderada
CR000197,CL00190,2025-05-28,Crédito libre inversión,2150000,12,0.0269,212000,Call center,854,0.1065,Automática,Activo
CR000198,CL00190,2025-09-21,Microcrédito,3100000,6,0.0433,598000,Aliado,868,0.3005,Automática,Mora moderada
CR000199,CL00191,2025-11-06,Crédito libre inversión,3350000,12,0.022,321000,App,849,0.1249,Automática,Activo
CR000200,CL00192,2024-06-18,Crédito consumo digital,700000,3,0.0331,249000,Web,839,0.0886,Automática,Mora moderada
CR000201,CL00193,2025-11-07,Crédito libre inversión,3250000,6,0.0284,597000,App,682,0.4489,Manual,Mora severa
CR000202,CL00194,2025-12-13,Crédito libre inversión,13800000,9,0.0244,1726000,App,900,0.3736,Manual,Activo
CR000203,CL00194,2025-09-11,Crédito consumo digital,1700000,9,0.0277,216000,App,858,0.0468,Automática,Activo
CR000204,CL00195,2025-06-07,Microcrédito,6950000,3,0.0341,2477000,App,809,0.7097,Excepción,Finalizado
CR000205,CL00196,2024-08-04,Crédito consumo digital,1650000,12,0.0225,158000,App,770,0.0656,Automática,Mora moderada
CR000206,CL00197,2024-02-28,Crédito consumo digital,2150000,12,0.0341,221000,App,900,0.05,Automática,Finalizado
CR000207,CL00198,2024-03-30,Crédito consumo digital,800000,3,0.0253,280000,App,792,0.1167,Automática,Finalizado
CR000208,CL00199,2026-03-19,Crédito libre inversión,1650000,12,0.0238,160000,Web,576,0.1231,Manual,Activo
CR000209,CL00200,2025-11-17,Avance de nómina,250000,18,0.0293,18000,App,759,0.0178,Automática,Activo
CR000210,CL00200,2025-12-19,Crédito libre inversión,250000,12,0.0216,24000,App,713,0.0238,Automática,Activo
CR000211,CL00200,2024-11-13,Crédito libre inversión,1000000,6,0.0329,186000,Web,836,0.1842,Automática,Finalizado
CR000212,CL00202,2025-11-24,Crédito libre inversión,5000000,12,0.0327,511000,Web,831,0.212,Automática,Activo
CR000213,CL00203,2025-04-12,Crédito consumo digital,1400000,12,0.0234,135000,Aliado,900,0.0458,Automática,Finalizado
CR000214,CL00204,2025-03-27,Crédito libre inversión,23300000,6,0.0239,4214000,App,900,0.548,Manual,Finalizado
CR000215,CL00205,2024-08-26,Microcrédito,2900000,9,0.0278,369000,App,822,0.1597,Automática,Finalizado
CR000216,CL00205,2024-04-11,Crédito consumo digital,550000,6,0.0288,101000,Aliado,900,0.0437,Automática,Finalizado
CR000217,CL00206,2023-06-10,Crédito consumo digital,950000,6,0.0351,178000,App,888,0.0886,Automática,Finalizado
CR000218,CL00207,2025-09-23,Crédito libre inversión,3350000,12,0.0244,325000,App,853,0.1236,Automática,Activo
CR000219,CL00207,2025-03-23,Crédito libre inversión,4500000,6,0.0282,826000,App,868,0.3141,Automática,Finalizado
CR000220,CL00208,2026-01-03,Crédito libre inversión,3500000,12,0.0274,346000,Web,816,0.1485,Automática,Mora moderada
CR000221,CL00209,2024-08-23,Microcrédito,5000000,24,0.0346,310000,App,900,0.1319,Automática,Mora moderada
CR000222,CL00210,2026-01-25,Crédito libre inversión,7300000,3,0.0226,2544000,Web,900,0.4855,Manual,Finalizado
CR000223,CL00210,2026-01-20,Crédito libre inversión,5800000,3,0.0336,2065000,App,888,0.3941,Manual,Finalizado
CR000224,CL00211,2025-11-10,Crédito consumo digital,1550000,6,0.0303,286000,Call center,861,0.0897,Automática,Activo
CR000225,CL00212,2025-08-05,Crédito consumo digital,400000,12,0.0358,42000,App,746,0.0333,Automática,Mora moderada
CR000226,CL00212,2026-02-16,Crédito libre inversión,1000000,3,0.0274,352000,App,721,0.2794,Automática,Activo
CR000227,CL00214,2025-08-25,Microcrédito,2250000,6,0.0424,433000,Call center,874,0.1575,Automática,Finalizado
CR000228,CL00214,2025-03-13,Crédito consumo digital,2350000,6,0.0236,425000,Aliado,860,0.1545,Automática,Mora moderada
CR000229,CL00215,2025-11-21,Crédito consumo digital,500000,9,0.0222,62000,App,794,0.0405,Automática,Activo
CR000230,CL00215,2026-02-06,Crédito consumo digital,550000,3,0.0384,198000,Web,780,0.1294,Automática,Activo
CR000231,CL00216,2025-08-13,Crédito consumo digital,800000,6,0.0374,151000,App,800,0.0786,Automática,Mora moderada
CR000232,CL00217,2024-02-24,Microcrédito,2650000,12,0.0332,271000,Aliado,844,0.0695,Automática,Mora moderada
